,pos,neg,neutral,num_tweets,Pos
Lamar Jackson,0.874,0.0,0.0,14.0,QB
Dak Prescott,0.624,0.326,0.0,8.0,QB
Russell Wilson,0.0,0.0,0.0,2.0,QB
Deshaun Watson,0.0,0.0,0.0,1.0,QB
Jameis Winston,0.0,0.0,0.0,0.0,QB
Patrick Mahomes,0.174,0.0,0.0,4.0,QB
Josh Allen,0.373,0.8180000000000001,0.0,6.0,QB
Kyler Murray,0.983,0.0,0.0,6.0,QB
Aaron Rodgers,0.855,0.248,0.0,10.0,QB
Carson Wentz,0.172,0.2,0.0,3.0,QB
Matt Ryan,0.627,0.357,0.0,7.0,QB
Tom Brady,0.506,0.862,0.0,18.0,QB
Jared Goff,1.3599999999999999,0.241,0.0,10.0,QB
Derek Carr,0.9690000000000001,0.265,0.0,7.0,QB
Jimmy Garoppolo,0.0,0.219,0.0,1.0,QB
Kirk Cousins,1.225,0.392,0.0,9.0,QB
Ryan Fitzpatrick,0.0,0.0,0.0,0.0,QB
Philip Rivers,0.0,0.0,0.0,2.0,QB
Baker Mayfield,0.286,0.0,0.0,1.0,QB
Drew Brees,0.0,0.133,0.0,2.0,QB
Christian McCaffrey,0.329,0.0,0.0,3.0,RB
Derrick Henry,0.0,0.0,0.0,0.0,RB
Aaron Jones,1.843,0.632,0.0,11.0,RB
Ezekiel Elliott,0.0,0.0,0.0,0.0,RB
Dalvin Cook,0.244,0.0,0.0,3.0,RB
Nick Chubb,0.445,0.0,0.0,6.0,RB
Austin Ekeler,0.398,0.0,0.0,2.0,RB
Mark Ingram,0.195,0.348,0.0,6.0,RB
Chris Carson,0.0,0.0,0.0,6.0,RB
Saquon Barkley,0.0,0.0,0.0,0.0,RB
Joe Mixon,0.298,0.0,0.0,7.0,RB
Todd Gurley,0.0,0.0,0.0,1.0,RB
Leonard Fournette,0.098,0.0,0.0,7.0,RB
Josh Jacobs,0.644,1.047,0.0,22.0,RB
Alvin Kamara,0.0,0.155,0.0,2.0,RB
Miles Sanders,0.388,0.149,0.0,11.0,RB
Marlon Mack,0.0,0.0,0.0,0.0,RB
Phillip Lindsay,0.0,0.0,0.0,0.0,RB
Kenyan Drake,0.262,0.0,0.0,2.0,RB
Raheem Mostert,0.309,0.0,0.0,8.0,RB
Travis Kelce,0.0,0.117,0.0,8.0,TE
Mark Andrews,0.0,0.0,0.0,2.0,TE
George Kittle,0.176,0.0,0.0,2.0,TE
Darren Waller,0.0,0.0,0.0,0.0,TE
Zach Ertz,0.145,0.0,0.0,3.0,TE
Jared Cook,0.32499999999999996,0.415,0.0,2.0,TE
Austin Hooper,0.0,0.0,0.0,2.0,TE
Hunter Henry,0.0,0.0,0.0,1.0,TE
Tyler Higbee,0.0,0.0,0.0,2.0,TE
Dallas Goedert,0.145,0.0,0.0,1.0,TE
Mike Gesicki,0.0,0.0,0.0,0.0,TE
Darren Fells,0.0,0.0,0.0,0.0,TE
Jason Witten,0.0,0.0,0.0,0.0,TE
Kyle Rudolph,0.0,0.0,0.0,1.0,TE
Greg Olsen,0.0,0.275,0.0,3.0,TE
Noah Fant,0.0,0.0,0.0,1.0,TE
Jonnu Smith,0.0,0.091,0.0,2.0,TE
Jack Doyle,0.0,0.0,0.0,1.0,TE
Evan Engram,0.139,0.209,0.0,3.0,TE
Jimmy Graham,0.0,0.104,0.0,1.0,TE
Lamar Jackson,0.874,0.0,0.0,14.0,QB
Dak Prescott,0.624,0.326,0.0,8.0,QB
Russell Wilson,0.0,0.0,0.0,2.0,QB
Deshaun Watson,0.0,0.0,0.0,1.0,QB
Jameis Winston,0.0,0.0,0.0,0.0,QB
Patrick Mahomes,0.174,0.0,0.0,4.0,QB
Josh Allen,0.373,0.8180000000000001,0.0,6.0,QB
Kyler Murray,0.983,0.0,0.0,6.0,QB
Aaron Rodgers,0.855,0.248,0.0,10.0,QB
Carson Wentz,0.172,0.2,0.0,3.0,QB
Matt Ryan,0.627,0.357,0.0,7.0,QB
Tom Brady,0.506,0.862,0.0,18.0,QB
Jared Goff,1.3599999999999999,0.241,0.0,10.0,QB
Derek Carr,0.9690000000000001,0.265,0.0,7.0,QB
Jimmy Garoppolo,0.0,0.219,0.0,1.0,QB
Kirk Cousins,1.225,0.392,0.0,9.0,QB
Ryan Fitzpatrick,0.0,0.0,0.0,0.0,QB
Philip Rivers,0.0,0.0,0.0,2.0,QB
Baker Mayfield,0.286,0.0,0.0,1.0,QB
Drew Brees,0.0,0.133,0.0,2.0,QB
